"title","price"
"Абрикосы сушеные","305"
"Авокадо Хасс, 2 шт","195"
"Авокадо Хасс, шт","95"
"Ананас медовый","398"
"Ананас спелый","350"
"Ананасы консерв. кольца в ананасовом соке","273"
"Арахис сырой","88"
"Банановый кекс с орехом","198"
"Бананы","125"
"Баранки «Молочные»","56"
"Батарейки щелочные АА, 4 шт","135"
"Батон «Молодежный», нарезка","37"
"Батон нарезной","32"
"Батон нарезной, половинка","27"
"Батончик «Кокос-кешью»","45"
"Батончик «Малина-миндаль»","61"
"Батончик зерновой с цукатами","40"
"Батончик твердый «Миндаль-шоколад-апельсин»","65                                                                         78"
"Батончик фруктово- ореховый «Клубника» детский","57"
"Батончик ягод.-орех. с вишней и клюквой","65"
"Бедро цыпленка бройлера","276"
"Бекон сырокопченый, нарезка","192"
"Беляши с говядиной и свининой, зам.","245"
"Бефстроганов из говядины с картофельным пюре","268"
